;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent
150;Liechtenstein;79.0;;1.0;;55.0;23.0;;2072.0;26.0;900.0;23605.0;Europe
151;Equatorial Guinea;79.0;; ;;4.0;75.0;;56.0;;854.0;609.0;Africa
152;Liberia;76.0;;7.0;;7.0;62.0;;15.0;1.0;;;Africa
153;Barbados;75.0;;5.0;;15.0;55.0;4.0;261.0;17.0;965.0;3358.0;North America
154;Sudan;66.0;33.0;10.0;4.0;6.0;50.0;;2.0;0.2;;;Africa
155;Sint Maarten;64.0;7.0;9.0;;12.0;43.0;6.0;1493.0;210.0;163.0;3802.0;North America
156;Guyana;63.0;;6.0;;9.0;48.0;4.0;80.0;8.0;283.0;360.0;South America
157;Cayman Islands;61.0;;1.0;;7.0;53.0;3.0;928.0;15.0;702.0;10681.0;North America
158;Cabo Verde;58.0;2.0;1.0;;1.0;56.0;;104.0;2.0;;;Africa
159;Zambia;57.0;5.0;2.0;;33.0;22.0;1.0;3.0;0.1;2191.0;119.0;Africa
160;French Polynesia;55.0;; ;;2.0;53.0;1.0;196.0;;1163.0;4140.0;Australia/Oceania
161;Uganda;55.0;; ;;20.0;35.0;;1.0;;9975.0;218.0;Africa
162;Bahamas;54.0;;9.0;;9.0;36.0;1.0;137.0;23.0;;;North America
163;Libya;49.0;;1.0;;11.0;37.0;;7.0;0.1;707.0;103.0;Africa
164;Guinea-Bissau;46.0;3.0; ;;;46.0;;23.0;;1500.0;762.0;Africa
165;Macao;45.0;; ;;16.0;29.0;1.0;69.0;;;;Asia
166;Haiti;44.0;1.0;3.0;;;41.0;;4.0;0.3;498.0;44.0;North America
167;Syria;38.0;;2.0;;5.0;31.0;;2.0;0.1;;;Asia
168;Saint Martin;37.0;2.0;2.0;;19.0;16.0;5.0;957.0;52.0;;;North America
169;Benin;35.0;;1.0;;18.0;16.0;;3.0;0.08;;;Africa
170;Eritrea;35.0;; ;;;35.0;;10.0;;;;Africa
171;Maldives;34.0;5.0; ;;16.0;18.0;;63.0;;3711.0;6865.0;Asia
172;Mozambique;34.0;; ;;2.0;32.0;;1.0;;898.0;29.0;Africa
173;Chad;33.0;6.0; ;;8.0;25.0;;2.0;;;;Africa
174;Nepal;31.0;1.0; ;;2.0;29.0;;1.0;;15800.0;542.0;Asia
175;Mongolia;31.0;; ;;5.0;26.0;;9.0;;1450.0;442.0;Asia
