;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent;1 Case every X people;1 Death every X people;1 Test every X ppl
132;Trinidad and Tobago;6767.0;16.0;122.0;;5937.0;30.0;708.0;38.0;4829.0;87.0;37482.0;26745.0;North America;207.0;11487.0;37.0
133;Eswatini;6501.0;6.0;122.0;;6090.0;12.0;289.0;11.0;5579.0;105.0;63144.0;54185.0;Africa;179.0;9552.0;18.0
134;Rwanda;6129.0;45.0;51.0;;5696.0;;382.0;;468.0;4.0;644631.0;49250.0;Africa;2136.0;256645.0;20.0
135;Malawi;6051.0;2.0;185.0;;5476.0;;390.0;4.0;313.0;10.0;76148.0;3937.0;Africa;3196.0;104541.0;254.0
136;Nicaragua;5838.0;;161.0;;4225.0;;1452.0;;877.0;24.0;;;North America;1141.0;41357.0;
137;Congo;5774.0;;94.0;;4988.0;;692.0;;1036.0;17.0;;;Africa;966.0;59318.0;
138;Djibouti;5701.0;9.0;61.0;;5593.0;1.0;47.0;;5734.0;61.0;93540.0;94088.0;Africa;174.0;16298.0;11.0
139;Guyana;5665.0;28.0;153.0;2.0;4759.0;26.0;753.0;4.0;7187.0;194.0;32011.0;40613.0;South America;139.0;5152.0;25.0
140;Martinique;5520.0;;41.0;;98.0;;5381.0;9.0;14715.0;109.0;65748.0;175264.0;North America;68.0;9150.0;6.0
141;Iceland;5482.0;6.0;27.0;;5269.0;16.0;186.0;2.0;16020.0;79.0;398627.0;1164888.0;Europe;62.0;12674.0;1.0
142;Suriname;5324.0;;117.0;;5207.0;;0.0;2.0;9041.0;199.0;22171.0;37648.0;South America;111.0;5033.0;27.0
143;Mayotte;5181.0;;49.0;;2964.0;;2168.0;4.0;18798.0;178.0;25231.0;91543.0;Africa;53.0;5625.0;11.0
144;Equatorial Guinea;5159.0;;85.0;;5023.0;;51.0;;3627.0;60.0;70998.0;49913.0;Africa;276.0;16735.0;20.0
145;Mali;5135.0;73.0;164.0;1.0;3369.0;35.0;1602.0;;251.0;8.0;108259.0;5281.0;Africa;3992.0;124989.0;189.0
146;Aruba;4965.0;8.0;45.0;;4788.0;25.0;132.0;4.0;46418.0;421.0;52719.0;492871.0;North America;22.0;2377.0;2.0
147;CAR;4922.0;;63.0;;1924.0;;2935.0;2.0;1012.0;13.0;32711.0;6723.0;Africa;989.0;77235.0;149.0
148;Somalia;4525.0;;121.0;;3480.0;;924.0;;281.0;8.0;;;Africa;3554.0;132904.0;
149;Thailand;4086.0;14.0;60.0;;3853.0;5.0;173.0;1.0;58.0;0.9;977854.0;13994.0;Asia;17101.0;1164602.0;71.0
150;Gambia;3770.0;;123.0;;3615.0;;32.0;2.0;1542.0;50.0;26072.0;10661.0;Africa;649.0;19882.0;94.0
151;Burkina Faso;3212.0;56.0;68.0;;2711.0;14.0;433.0;;152.0;3.0;;;Africa;6584.0;310980.0;
152;South Sudan;3166.0;;62.0;;2977.0;;127.0;1.0;281.0;6.0;61964.0;5508.0;Africa;3553.0;181457.0;182.0
153;Togo;3095.0;10.0;65.0;;2653.0;29.0;377.0;;370.0;8.0;154616.0;18492.0;Africa;2702.0;128637.0;54.0
